Year,Species,Wing,Weight,Tail,Hallux,Coopers?,Red-tailed?,Sharp-shinned?
1994,RT,277.0,940.0,218,30.4,0,1,0
1997,RT,373.0,914.0,221,30.4,0,1,0
2000,RT,379.0,1000.0,217,32.2,0,1,0
2000,RT,392.0,1185.0,229,33.0,0,1,0
2002,RT,365.0,1125.0,213,29.3,0,1,0
2000,RT,377.0,910.0,206,29.0,0,1,0
2002,SS,199.0,190.0,163,15.2,0,0,1
1995,RT,420.0,1280.0,230,31.8,0,1,0
1997,RT,378.0,1097.0,236,33.4,0,1,0
1997,RT,382.0,1403.0,247,34.7,0,1,0
1993,SS,158.0,100.0,122,10.5,0,0,1
1999,SS,184.0,155.0,153,14.9,0,0,1
2001,SS,161.0,95.0,124,11.0,0,0,1
2002,RT,368.0,1090.0,216,30.4,0,1,0
2003,SS,198.0,190.0,158,15.8,0,0,1
2002,RT,379.0,1010.0,216,29.3,0,1,0
1995,RT,410.0,1000.0,230,30.6,0,1,0
1997,SS,191.0,157.0,158,13.8,0,0,1
1998,RT,406.0,1344.0,230,33.1,0,1,0
1999,RT,372.0,909.0,212,25.4,0,1,0
1999,SS,162.0,110.0,130,11.8,0,0,1
1992,RT,362.0,820.0,209,27.9,0,1,0
2000,RT,380.0,1085.0,223,33.3,0,1,0
1999,RT,371.0,1145.0,215,10.3,0,1,0
1997,RT,365.0,813.0,221,30.1,0,1,0
2003,RT,382.0,1140.0,218,31.6,0,1,0
2001,RT,355.0,785.0,206,25.0,0,1,0
2003,SS,165.0,100.0,134,12.0,0,0,1
2003,SS,194.0,210.0,147,14.5,0,0,1
1997,CH,235.0,327.0,193,20.3,1,0,0
2002,CH,261.0,455.0,216,26.8,1,0,0
1999,SS,199.0,200.0,169,14.9,0,0,1
1992,RT,390.0,1120.0,213,30.9,0,1,0
2003,RT,400.0,1130.0,227,29.4,0,1,0
1995,RT,387.0,1120.0,221,50.2,0,1,0
2003,RT,370.0,960.0,217,30.4,0,1,0
2001,RT,374.0,1080.0,206,31.3,0,1,0
2002,SS,162.0,100.0,131,11.1,0,0,1
1992,RT,416.0,1170.0,243,34.0,0,1,0
1994,RT,414.0,1370.0,240,33.0,0,1,0
1993,RT,396.0,1250.0,225,32.5,0,1,0
1999,RT,364.0,1044.0,210,29.0,0,1,0
1996,RT,377.0,980.0,209,29.1,0,1,0
2001,SS,196.0,205.0,156,14.0,0,0,1
2002,RT,374.0,1050.0,220,30.3,0,1,0
2002,RT,407.0,1275.0,238,33.7,0,1,0
1997,RT,362.0,832.0,210,32.6,0,1,0
1996,RT,390.0,1000.0,250,29.6,0,1,0
2000,RT,356.0,915.0,195,28.9,0,1,0
1994,RT,386.0,1100.0,211,30.2,0,1,0
1999,SS,163.0,100.0,131,11.3,0,0,1
1997,SS,260.0,550.0,215,11.2,0,0,1
1998,CH,243.0,334.0,196,19.2,1,0,0
1999,RT,371.0,895.0,204,31.0,0,1,0
1995,SS,175.0,99.0,145,12.7,0,0,1
1997,RT,369.0,749.0,216,26.8,0,1,0
1999,SS,200.0,175.0,155,15.6,0,0,1
2001,RT,277.0,1500.0,207,32.1,0,1,0
2000,SS,170.0,110.0,135,121.0,0,0,1
2000,RT,385.0,1180.0,222,30.0,0,1,0
2003,SS,193.0,105.0,156,15.6,0,0,1
2001,SS,195.0,170.0,149,14.8,0,0,1
1999,RT,375.0,1045.0,221,30.0,0,1,0
1995,RT,370.0,950.0,215,30.5,0,1,0
2003,RT,415.0,1285.0,242,34.0,0,1,0
1999,RT,388.0,1225.0,227,31.5,0,1,0
1999,RT,379.0,1005.0,209,31.4,0,1,0
1994,RT,384.0,1075.0,208,30.7,0,1,0
1992,RT,399.0,1100.0,190,32.5,0,1,0
1998,RT,425.0,1449.0,232,33.0,0,1,0
1999,RT,400.0,1345.0,227,33.9,0,1,0
2000,RT,403.0,1310.0,237,33.3,0,1,0
1994,RT,370.0,1060.0,215,29.8,0,1,0
2003,RT,403.0,1350.0,140,32.8,0,1,0
2003,RT,385.0,990.0,225,29.6,0,1,0
1997,RT,469.0,1001.0,257,43.2,0,1,0
1995,SS,195.0,155.0,155,14.6,0,0,1
1999,SS,163.0,125.0,135,10.9,0,0,1
1995,RT,365.0,1120.0,260,30.8,0,1,0
2001,SS,195.0,170.0,154,14.7,0,0,1
1994,SS,174.0,93.0,131,11.0,0,0,1
2003,RT,380.0,1525.0,224,27.6,0,1,0
2001,SS,171.0,95.0,135,11.5,0,0,1
1999,SS,194.0,155.0,153,13.7,0,0,1
1994,RT,375.0,950.0,225,29.9,0,1,0
1997,RT,233.0,337.0,196,31.9,0,1,0
2003,CH,256.0,510.0,212,23.3,1,0,0
1995,RT,410.0,1280.0,229,32.7,0,1,0
2002,RT,386.0,1065.0,221,31.0,0,1,0
2002,CH,260.0,565.0,205,54.5,1,0,0
2003,SS,157.0,105.0,133,11.5,0,0,1
2002,CH,234.0,380.0,192,21.9,1,0,0
2003,SS,163.0,105.0,137,11.7,0,0,1
2001,SS,161.0,105.0,131,11.2,0,0,1
1997,RT,230.0,340.0,200,30.5,0,1,0
1999,SS,199.0,165.0,161,15.7,0,0,1
2001,CH,253.0,540.0,209,22.6,1,0,0
1999,RT,375.0,890.0,219,28.0,0,1,0
1996,RT,415.0,1175.0,230,33.2,0,1,0
2001,RT,378.0,235.0,223,30.7,0,1,0
2000,RT,377.0,1125.0,220,29.5,0,1,0
2000,CH,268.0,56.0,206,26.1,1,0,0
2000,RT,380.0,1045.0,199,27.0,0,1,0
1994,RT,375.0,990.0,223,29.5,0,1,0
2001,CH,230.0,365.0,192,23.55,1,0,0
1997,SS,168.0,102.0,138,11.9,0,0,1
1999,SS,194.0,185.0,154,15.5,0,0,1
2002,SS,166.0,105.0,141,12.0,0,0,1
2001,RT,378.0,960.0,206,30.0,0,1,0
2003,RT,411.0,1220.0,236,32.7,0,1,0
2002,RT,372.0,985.0,224,31.0,0,1,0
2003,SS,181.0,150.0,141,14.3,0,0,1
2001,RT,404.0,1170.0,237,32.8,0,1,0
1996,RT,420.0,1540.0,235,35.5,0,1,0
2003,SS,160.0,90.0,131,11.4,0,0,1
1997,SS,230.0,162.0,149,13.8,0,0,1
1995,SS,203.0,165.0,165,14.4,0,0,1
1994,SS,204.0,164.0,157,14.3,0,0,1
1995,SS,204.0,180.0,186,12.4,0,0,1
2000,SS,164.0,90.0,127,10.7,0,0,1
2003,RT,398.0,1205.0,227,33.4,0,1,0
2000,RT,382.0,1194.0,237,33.8,0,1,0
2002,RT,372.0,1085.0,220,29.8,0,1,0
2000,RT,374.0,950.0,216,29.8,0,1,0
1995,RT,355.0,900.0,214,29.0,0,1,0
1997,RT,400.0,1216.0,227,32.1,0,1,0
1996,RT,417.0,1260.0,234,32.8,0,1,0
1993,RT,410.0,1500.0,239,33.2,0,1,0
1993,RT,395.0,1180.0,210,28.9,0,1,0
2003,RT,365.0,895.0,217,28.9,0,1,0
2002,RT,378.0,1055.0,217,29.9,0,1,0
1999,SS,169.0,95.0,132,11.85,0,0,1
1993,SS,171.0,88.0,136,11.5,0,0,1
1995,RT,415.0,1285.0,239,31.8,0,1,0
1994,RT,391.0,1050.0,221,32.2,0,1,0
2002,SS,193.0,185.0,154,14.8,0,0,1
1999,RT,392.0,890.0,219,29.2,0,1,0
2002,RT,369.0,1095.0,215,28.4,0,1,0
2001,SS,199.0,180.0,152,15.5,0,0,1
1994,RT,382.0,1000.0,225,30.1,0,1,0
1999,RT,363.0,850.0,220,30.0,0,1,0
2003,CH,230.0,360.0,186,22.1,1,0,0
2003,CH,216.0,305.0,185,20.4,1,0,0
2001,RT,377.0,1095.0,206,31.7,0,1,0
2000,RT,394.0,1085.0,235,32.7,0,1,0
1994,RT,363.0,1070.0,204,30.4,0,1,0
2001,RT,361.0,970.0,218,30.7,0,1,0
1997,RT,384.0,1147.0,229,35.0,0,1,0
1997,SS,202.0,180.0,160,14.1,0,0,1
2003,CH,255.0,440.0,214,22.8,1,0,0
2003,RT,371.0,1160.0,218,28.4,0,1,0
1998,SS,210.0,181.0,170,15.0,0,0,1
2003,RT,370.0,830.0,233,27.8,0,1,0
1995,RT,390.0,1250.0,210,32.0,0,1,0
2002,RT,403.0,1160.0,235,32.3,0,1,0
2000,RT,358.0,1025.0,204,29.0,0,1,0
1994,RT,386.0,1050.0,207,29.4,0,1,0
2002,SS,191.0,190.0,147,14.8,0,0,1
2003,RT,375.0,1010.0,218,30.8,0,1,0
1995,RT,410.0,1360.0,235,28.6,0,1,0
1997,RT,369.0,1039.0,223,29.5,0,1,0
2003,CH,218.0,295.0,183,19.4,1,0,0
2002,RT,359.0,895.0,201,30.1,0,1,0
1992,RT,412.0,1210.0,210,31.3,0,1,0
2003,RT,199.0,1290.0,222,32.1,0,1,0
1993,RT,382.0,1140.0,227,29.4,0,1,0
1999,SS,196.0,155.0,164,14.3,0,0,1
1995,RT,404.0,1220.0,225,30.4,0,1,0
1995,RT,398.0,1020.0,217,31.1,0,1,0
1999,RT,367.0,1060.0,204,31.0,0,1,0
1997,RT,354.0,998.0,227,29.2,0,1,0
2000,RT,400.0,1089.0,228,33.1,0,1,0
1999,RT,369.0,985.0,223,31.1,0,1,0
2002,CH,169.0,640.0,233,23.6,1,0,0
2002,SS,192.0,190.0,155,14.2,0,0,1
1993,RT,390.0,1000.0,231,28.3,0,1,0
1994,RT,386.0,980.0,221,30.2,0,1,0
1994,SS,209.0,151.0,160,13.9,0,0,1
2003,SS,194.0,185.0,152,14.8,0,0,1
2003,SS,190.0,175.0,150,15.4,0,0,1
1999,SS,165.0,95.0,136,11.2,0,0,1
1999,RT,394.0,1210.0,207,31.7,0,1,0
1994,RT,410.0,1210.0,238,28.9,0,1,0
2000,RT,262.0,1020.0,200,31.2,0,1,0
1993,CH,252.0,340.0,230,20.8,1,0,0
1994,RT,400.0,990.0,223,31.4,0,1,0
1992,SS,205.0,170.0,157,14.3,0,0,1
1994,RT,388.0,995.0,222,30.7,0,1,0
